SNP Chr Position(Mb) Gene OR PValue  
rs10812518[C] 9 27.0 IFT74 0.80 3.0x10-7  
rs12337896[A] 9 27.0 IFT74 0.80 3.7x10-7  
rs4974096[C] 3 51.4 DOCK3 0.51 2.3x10-6  
rs3804766[A] 3 51.4 RBM15B 0.52 2.4x10-6   
rs10758368[G] 9 36.3 RNF38 0.84 2.6x10-6   
rs12365860[C] 11 56.1 OR8U8 0.83 3.1x10-6  
rs2241785[A] 3 51.4 DOCK3 1.88 3.4x10-6  
rs7863476[A] 9 26.9 PLAA 1.24 3.6x10-6  
rs12487468[A] 3 51.4 DOCK3 0.53 3.9x10-6  
rs7032756[C] 9 26.8 C9orf82 0.80 4.5x10-6  
rs1882411[C] X 6.0 NLGN4X 1.16 5.2x10-6  
rs4687592[C] 3 51.6 RAD54L2 0.55 6.3x10-6  
rs3828395[C] 3 51.4 DOCK3 1.85 7.4x10-6  
rs747020[A] 1 32.5 EIF3I 0.70 8.2x10-6  
rs7868158[C] 9 26.9 C9orf82 1.23 9.9x10-6  
rs569919[C] 6 160.7 SLC22A3 0.83 1.3x10-5  
rs6470253[A] 8 125.7 MTSS1 0.85 1.3x10-5  
rs4275431[A] 1 163.2 PBX1 1.22 1.5x10-5  
rs2060833[C] 5 101.8 SLCO6A1 1.19 1.6x10-5  
rs12032332[A] 1 32.4 IQCC 0.71 1.6x10-5  
rs1275475[A] 12 74.2 KRR1 1.32 1.6x10-5  
rs11746217[A] 5 101.8 SLCO6A1 1.19 1.7x10-5  
rs1562960[A] 5 101.8 SLCO6A1 0.84 1.7x10-5  
rs9327836[C] 5 101.7 SLCO4C1 0.84 2.2x10-5  
rs1018234[A] 6 160.7 SLC22A3 1.19 2.3x10-5  
rs7734926[C] 5 101.7 SLCO4C1 1.18 2.3x10-5   
rs4702[A] 15 89.2 FURIN 0.85 2.4x10-5  
rs1015195[C] 11 56.3 OR9G4 1.20 3.1x10-5  
rs1502844[C] 5 101.9 SLCO6A1 1.18 3.1x10-5  
rs1573182[C] 1 163.2 PBX1 0.83 3.2x10-5  
rs4745430[C] 9 77.5 - 0.85 3.8x10-5  
rs9611324[C] 22 39.1 SGSM3 0.82 3.9x10-5  
rs2283508[C] 16 16.2 ABCC6 1.17 4.0x10-5  
rs12484697[A] 22 39.1 TNRC6B 0.82 4.3x10-5  
rs4767658[C] 12 117.0 FLJ20674 1.17 4.3x10-5  
rs995703[G] 17 2.6 GARNL4 1.19 4.3x10-5  
rs241424[C] 6 32.9 TAP2 1.17 4.5x10-5  
rs11230864[C] 11 55.3 OR5D13 0.86 5.0x10-5  
rs2289136[C] 15 46.7 FBN1 1.24 5.1x10-5  
rs470113[A] 22 39.1 TNRC6B 1.21 5.4x10-5  
rs906517[C] 18 70.9 ZNF407 0.84 5.4x10-5  
rs1383102[C] 12 74.3 KRR1 0.76 5.4x10-5  
rs10123040[C] 9 36.3 RNF38 1.20 5.9x10-5  
rs1595796[C] 2 174.7 OLA1 1.18 6.4x10-5  
rs4264869[C] 4 40.0 CHRNA9 1.16 6.5x10-5  
rs2713831[G] 4 106.5 PPA2 0.85 6.6x10-5  
rs2512941[A] 11 55.5 OR5F1 1.17 6.9x10-5  
rs4799062[A] 18 75.4 NFATC1 1.47 6.9x10-5  
rs10948466[C] 6 49.0 - 1.17 7.1x10-5  
rs6848193[A] 4 182.9 - 1.16 7.4x10-5  
rs4884665[C] 13 65.8 PCDH9 0.86 7.8x10-5  
rs658845[C] 11 56.1 OR8U8 0.84 8.0x10-5  
rs451391[A] 11 55.3 OR5D18 0.85 8.8x10-5  
rs10879771[A] 12 73.1 - 1.18 8.8x10-5  
rs1451526[A] 7 136.7 DGKI 0.83 8.8x10-5  
rs3099844[A] 6 31.6 HCP5 0.78 9.1x10-5  
rs1419070[A] 1 163.2 PBX1 1.19 9.3x10-5  
rs9316871[A] 13 21.8 - 1.20 9.4x10-5  
rs627933[C] 11 56.0 OR8U8 0.85 9.4x10-5  
rs7488514[C] 12 117.0 FLJ20674 0.86 9.9x10-5  
rs7035755[A] 9 26.9 PLAA 0.80 9.9x10-5  
